row,pos1,pos2,pos3,Rffilename,pair,structure,phase,exp1,exp2,selection,type
1,A1,X1,B1,A1_X1_B1.wav,NA,AXB,training,1,1,NA,word
2,A1,X2,B1,A1_X2_B1.wav,NA,AXB,training,1,1,NA,word
3,A1,X3,B1,A1_X3_B1.wav,NA,AXB,training,1,1,NA,word
4,A2,X1,B2,A2_X1_B2.wav,NA,AXB,training,1,1,NA,word
5,A2,X2,B2,A2_X2_B2.wav,NA,AXB,training,1,1,NA,word
6,A2,X3,B2,A2_X3_B2.wav,NA,AXB,training,1,1,NA,word
7,A3,X1,B3,A3_X1_B3.wav,NA,AXB,training,1,1,NA,word
8,A3,X2,B3,A3_X2_B3.wav,NA,AXB,training,1,1,NA,word
9,A3,X3,B3,A3_X3_B3.wav,NA,AXB,training,1,1,NA,word
10,A1,X1,B1,A1_X1_B1.wav,A,AXB,segmentation,1,0,correct,word
11,A2,X1,B2,A2_X1_B2.wav,B,AXB,segmentation,1,0,correct,word
12,A3,X1,B3,A3_X1_B3.wav,G,AXB,segmentation,1,0,correct,word
13,A1,X2,B1,A1_X2_B1.wav,E,AXB,segmentation,1,0,correct,word
14,A2,X2,B2,A2_X2_B2.wav,F,AXB,segmentation,1,0,correct,word
15,A3,X2,B3,A3_X2_B3.wav,C,AXB,segmentation,1,0,correct,word
16,A1,X3,B1,A1_X3_B1.wav,H,AXB,segmentation,1,0,correct,word
17,A3,X3,B3,A3_X3_B3.wav,I,AXB,segmentation,1,0,correct,word
18,A2,X3,B2,A2_X3_B2.wav,D,AXB,segmentation,1,0,correct,word
19,B3,A1,X3,B3_A1_X3.wav,A,CAX,segmentation,1,0,incorrect,partword
20,B1,A2,X2,B1_A2_X2.wav,B,CAX,segmentation,1,0,incorrect,partword
21,B1,A3,X3,B1_A3_X3.wav,G,CAX,segmentation,1,0,incorrect,partword
22,B2,A1,X1,B2_A1_X1.wav,H,CAX,segmentation,1,0,incorrect,partword
23,X3,B3,A3,X3_B3_A3.wav,C,XCA,segmentation,1,0,incorrect,partword
24,X2,B2,A1,X2_B2_A1.wav,D,XCA,segmentation,1,0,incorrect,partword
25,X2,B1,A2,X2_B1_A2.wav,E,XCA,segmentation,1,0,incorrect,partword
26,X1,B2,A3,X1_B2_A3.wav,F,XCA,segmentation,1,0,incorrect,partword
27,X1,B3,A2,X1_B3_A2.wav,I,XCA,segmentation,1,0,incorrect,partword
28,A1,X4,B1,A1_X4_B1.wav,N,AXB,generalization,1,0,correct,ruleword
29,A1,X5,B1,A1_X5_B1.wav,Q,AXB,generalization,1,0,correct,ruleword
30,A1,X6,B1,A1_X6_B1.wav,M,AXB,generalization,1,0,correct,ruleword
31,A2,X4,B2,A2_X4_B2.wav,K,AXB,generalization,1,0,correct,ruleword
32,A2,X5,B2,A2_X5_B2.wav,O,AXB,generalization,1,0,correct,ruleword
33,A2,X6,B2,A2_X6_B2.wav,R,AXB,generalization,1,0,correct,ruleword
34,A3,X4,B3,A3_X4_B3.wav,P,AXB,generalization,1,0,correct,ruleword
35,A3,X5,B3,A3_X5_B3.wav,J,AXB,generalization,1,0,correct,ruleword
36,A3,X6,B3,A3_X6_B3.wav,L,AXB,generalization,1,0,correct,ruleword
37,X5,B3,A3,X5_B3_A3.wav,J,NCA,generalization,1,0,incorrect,partword
38,X1,X4,A2,X1_X4_A2.wav,K,XNA,generalization,1,0,incorrect,partword
39,X3,X6,A3,X3_X6_A3.wav,L,XNA,generalization,1,0,incorrect,partword
40,B1,A1,X6,B1_A1_X6.wav,M,CAN,generalization,1,0,incorrect,partword
41,X4,B1,A1,X4_B1_A1.wav,N,NCA,generalization,1,0,incorrect,partword
42,B2,A2,X5,B2_A2_X5.wav,O,CAN,generalization,1,0,incorrect,partword
43,B3,A3,X4,B3_A3_X4.wav,P,CAN,generalization,1,0,incorrect,partword
44,X2,X5,A1,X2_X5_A1.wav,Q,XNA,generalization,1,0,incorrect,partword
45,X6,B2,A2,X6_B2_A2.wav,R,NCA,generalization,1,0,incorrect,partword
46,A1,X1,B1,A1_X1_B1.wav,A,AXB,segmentation,0,1,correct,word
47,A2,X1,B2,A2_X1_B2.wav,B,AXB,segmentation,0,1,correct,word
48,A3,X1,B3,A3_X1_B3.wav,G,AXB,segmentation,0,1,correct,word
49,A1,X2,B1,A1_X2_B1.wav,E,AXB,segmentation,0,1,correct,word
50,A2,X2,B2,A2_X2_B2.wav,F,AXB,segmentation,0,1,correct,word
51,A3,X2,B3,A3_X2_B3.wav,C,AXB,segmentation,0,1,correct,word
52,A1,X3,B1,A1_X3_B1.wav,H,AXB,segmentation,0,1,correct,word
53,A3,X3,B3,A3_X3_B3.wav,I,AXB,segmentation,0,1,correct,word
54,A2,X3,B2,A2_X3_B2.wav,D,AXB,segmentation,0,1,correct,word
55,A1,X1,B2,A1_X1_B2.wav,E,AXB,segmentation,0,1,incorrect,phantomword
56,A1,X2,B3,A1_X2_B3.wav,C,AXB,segmentation,0,1,incorrect,phantomword
57,A1,X3,B2,A1_X3_B2.wav,F,AXB,segmentation,0,1,incorrect,phantomword
58,A2,X1,B3,A2_X1_B3.wav,I,AXB,segmentation,0,1,incorrect,phantomword
59,A2,X2,B1,A2_X2_B1.wav,D,AXB,segmentation,0,1,incorrect,phantomword
60,A2,X3,B3,A2_X3_B3.wav,B,AXB,segmentation,0,1,incorrect,phantomword
61,A3,X1,B1,A3_X1_B1.wav,A,AXB,segmentation,0,1,incorrect,phantomword
62,A3,X2,B2,A3_X2_B2.wav,G,AXB,segmentation,0,1,incorrect,phantomword
63,A3,X3,B1,A3_X3_B1.wav,H,AXB,segmentation,0,1,incorrect,phantomword
64,A1,X4,B1,A1_X4_B1.wav,J,AXB,generalization,0,1,correct,ruleword
65,A1,X5,B1,A1_X5_B1.wav,K,AXB,generalization,0,1,correct,ruleword
66,A1,X6,B1,A1_X6_B1.wav,L,AXB,generalization,0,1,correct,ruleword
67,A2,X4,B2,A2_X4_B2.wav,M,AXB,generalization,0,1,correct,ruleword
68,A2,X5,B2,A2_X5_B2.wav,N,AXB,generalization,0,1,correct,ruleword
69,A2,X6,B2,A2_X6_B2.wav,O,AXB,generalization,0,1,correct,ruleword
70,A3,X4,B3,A3_X4_B3.wav,P,AXB,generalization,0,1,correct,ruleword
71,A3,X5,B3,A3_X5_B3.wav,Q,AXB,generalization,0,1,correct,ruleword
72,A3,X6,B3,A3_X6_B3.wav,R,AXB,generalization,0,1,correct,ruleword
73,A1,X5,B3,A1_X5_B3.wav,J,AXB,generalization,0,1,incorrect,phantomruleword
74,A1,X4,B2,A1_X4_B2.wav,M,AXB,generalization,0,1,incorrect,phantomruleword
75,A1,X6,B3,A1_X6_B3.wav,K,AXB,generalization,0,1,incorrect,phantomruleword
76,A2,X5,B1,A2_X5_B1.wav,O,AXB,generalization,0,1,incorrect,phantomruleword
77,A2,X4,B3,A2_X4_B3.wav,Q,AXB,generalization,0,1,incorrect,phantomruleword
78,A2,X6,B1,A2_X6_B1.wav,L,AXB,generalization,0,1,incorrect,phantomruleword
79,A3,X5,B2,A3_X5_B2.wav,R,AXB,generalization,0,1,incorrect,phantomruleword
80,A3,X4,B1,A3_X4_B1.wav,P,AXB,generalization,0,1,incorrect,phantomruleword
81,A3,X6,B2,A3_X6_B2.wav,N,AXB,generalization,0,1,incorrect,phantomruleword
